,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
Progression or Recurrence Anatomic Site,Progression or Recurrence Anatomic Site,ProgressionorRecurrenceAnatomicSite,The text term used to describe the anatomic site of resection; biopsy; tissue or organ of biospecimen origin; progression or recurrent disease; treatment,False,True,"['Paraurethral gland', 'Colon NOS', 'Frontal sinus', 'Overlapping lesion of tongue', 'Overlapping lesion of palate', 'Scrotum NOS', 'Bone marrow', 'Axillary tail of breast', 'Overlapping lesion of bones joints and articular cartilage of limbs', 'unknown primary site', 'Broad ligament', 'Lateral floor of mouth', 'Overlapping lesion of vulva', 'Trigone of bladder', 'Lacrimal gland', 'Thorax NOS', 'Ampulla of Vater', 'Myometrium', 'Penis NOS', 'Female genital tract NOS', 'Submandibular gland', 'Anterior 2/3 of tongue NOS', 'Posterior wall of bladder', 'Thymus', 'Endocrine gland NOS', 'Stomach NOS', 'Unknown', 'Cerebrum', 'Splenic flexure of colon', 'Urachus', 'Skin of lip NOS', 'Mucosa of lip NOS', 'Accessory sinus NOS', 'Cortex of adrenal gland', 'Other ill-defined sites', 'Middle lobe lung', 'Pelvis NOS', 'Anus NOS', 'Upper-inner quadrant of breast', 'Posterior mediastinum', 'Esophagus NOS', 'Duodenum', 'Cervical esophagus', 'Optic nerve', 'Long bones of lower limb and associated joints', 'Middle ear', 'Breast NOS', 'Dorsal surface of tongue NOS', 'Lesser curvature of stomach NOS', 'Overlapping lesion of floor of mouth', 'Overlapping lesion of heart mediastinum and pleura', 'Eye NOS', 'Overlapping lesion of esophagus', 'Ciliary body', 'Ureteric orifice', 'Postcricoid region', 'External ear', 'Base of tongue NOS', 'Liver', 'Commissure of lip', 'Cloacogenic zone', 'Lower lobe lung', 'Transverse colon', 'Acoustic nerve', 'Supraglottis', 'Fallopian tube', 'Upper third of esophagus', 'Skin of scalp and neck', 'Choroid', 'Long bones of upper limb scapula and associated joints', 'Overlapping lesion of brain', 'Upper gum', 'Skin NOS', 'Hard palate', 'Ileum', 'Overlapping lesion of colon', 'Ascending colon', 'Lower gum', 'Pelvic bones sacrum coccyx and associated joints', 'Hepatic flexure of colon', 'Peripheral nerves and autonomic nervous system of upper limb and shoulder', 'Vestibule of mouth', 'Cervix uteri', 'Bones of skull and face and associated joints', 'Overlapping lesion of lip oral cavity and pharynx', 'Endometrium', 'Sphenoid sinus', 'Overlapping lesion of ill-defined sites', 'Sigmoid colon', 'Peritoneum NOS', 'Specified parts of peritoneum', 'Meckel diverticulum', 'Rectosigmoid junction', 'Kidney NOS', 'Reticuloendothelial system NOS', 'Rectum NOS', 'Pylorus', 'Overlapping lesion of tonsil', 'Pleura NOS', 'Jejunum', 'Vallecula', 'Skin of lower limb and hip', 'Pelvic lymph nodes', 'External lower lip', 'Overlapping lesion of skin', 'Mucosa of upper lip', 'Ovary', 'Cauda equina', 'Lower limb NOS', 'Body of stomach', 'Overlapping lesion of larynx', 'Pancreas NOS', 'Overlapping lesion of lung', 'Overlapping lesion of major salivary glands', 'Uvula', 'Overlapping lesion of hypopharynx', 'Round ligament', 'Corpus uteri', 'Biliary tract NOS', 'Male genital organs NOS', 'Parametrium', 'External lip NOS', 'Overlapping lesion of accessory sinuses', 'Cardia NOS', 'Islets of Langerhans', 'Carotid body', 'Ventral surface of tongue NOS', 'Autonomic nervous system NOS', 'Overlapping lesion of corpus uteri', 'Spinal meninges', 'Posterior wall of nasopharynx', 'Placenta', 'Intrahepatic bile duct', 'Overlapping lesion of digestive system', 'Mediastinum NOS', 'Hematopoietic system NOS', 'Connective subcutaneous and other soft tissues of upper limb and shoulder', 'Major salivary gland NOS', 'Cerebellum NOS', 'Overlapping lesion of stomach', 'Vulva NOS', 'Craniopharyngeal duct', 'Lung NOS', 'Greater curvature of stomach NOS', 'Upper-outer quadrant of breast', 'Gallbladder', 'Thoracic esophagus', 'Lymph nodes of axilla or arm', 'Ventricle NOS', 'Overlapping lesion of biliary tract', 'Hypopharynx NOS', 'Clitoris', 'Exocervix', 'Parietal lobe', 'Waldeyer ring', 'Connective subcutaneous and other soft tissues of lower limb and hip', 'Head face or neck NOS', 'Anterior wall of nasopharynx', 'Urethra', 'Overlapping lesion of nasopharynx', 'Maxillary sinus', 'Lymph nodes of inguinal region or leg', 'Ureter', 'Tonsillar pillar', 'Sublingual gland', 'Pituitary gland', 'Gastrointestinal tract NOS', 'Pineal gland', 'Meninges NOS', 'Lingual tonsil', 'Trachea', 'Pyriform sinus', 'Mucosa of lower lip', 'Not Reported', 'Posterior wall of hypopharynx', 'Urinary system NOS', 'Orbit NOS', 'Short bones of lower limb and associated joints', 'Connective subcutaneous and other soft tissues of thorax', 'Upper limb NOS', 'Gastric antrum', 'Lymph node NOS', 'Peripheral nerves and autonomic nervous system of thorax', 'Ill-defined sites within respiratory system', 'Other specified parts of male genital organs', 'Rib sternum clavicle and associated joints', 'Overlapping lesion of bladder', 'Appendix', 'Prostate gland', 'Lymph nodes of multiple regions', 'Lateral wall of nasopharynx', 'Branchial cleft', 'Connective subcutaneous and other soft tissues of trunk NOS', 'Floor of mouth NOS', 'Connective subcutaneous and other soft tissues NOS', 'Overlapping lesion of connective subcutaneous and other soft tissues', 'Bladder neck', 'Border of tongue', 'Connective subcutaneous and other soft tissues of abdomen', 'Overlapping lesion of small intestine', 'Lateral wall of bladder', 'Soft palate NOS', 'Peripheral nerves and autonomic nervous system of abdomen', 'Isthmus uteri', 'Nasal cavity', 'Endocervix', 'Tonsil NOS', 'Glottis', 'Retroperitoneum', 'Peripheral nerves and autonomic nervous system of pelvis', 'Frontal lobe', 'Vagina NOS', 'Undescended testis', 'Laryngeal cartilage', 'Eyelid', 'Hypopharyngeal aspect of aryepiglottic fold', 'Overlapping lesion of other and unspecified parts of mouth', 'Upper lobe lung', 'Lip NOS', 'Lymph nodes of head face and neck', 'Overlapping lesion of brain and central nervous system', 'Overlapping lesion of penis', 'Overlapping lesion of retroperitoneum and peritoneum', 'Parotid gland', 'Dome of bladder', 'Bone of limb NOS', 'Descended testis', 'Vertebral column', 'Fundus uteri', 'Connective subcutaneous and other soft tissues of pelvis', 'Epididymis', 'Intra-abdominal lymph nodes', 'Prepuce', 'Peripheral nerves and autonomic nervous system of head face and neck', 'Pharynx NOS', 'Overlapping lesion of endocrine glands and related structures', 'Gum NOS', 'Spinal cord', 'Overlapping lesion of peripheral nerves and autonomic nervous system', 'Skin of upper limb and shoulder', 'Nasopharynx NOS', 'Parathyroid gland', 'Bone NOS', 'Mouth NOS', 'Abdomen NOS', 'Conjunctiva', 'Spermatic cord', 'External upper lip', 'Labium minus', 'Renal pelvis', 'Overlapping lesion of lip', 'Short bones of upper limb and associated joints', 'Main bronchus', 'Upper respiratory tract NOS', 'Body of penis', 'Small intestine NOS', 'Central portion of breast', 'Lower-inner quadrant of breast', 'Labium majus', 'Tonsillar fossa', 'Cecum', 'Glans penis', 'Tail of pancreas', 'Lower third of esophagus', 'Body of pancreas', 'Intestinal tract NOS', 'Brain stem', 'Overlapping lesion of rectum anus and anal canal', 'Posterior wall of oropharynx', 'Pancreatic duct', 'Blood', 'Temporal lobe', 'Anterior floor of mouth', 'Nervous system NOS', 'Cornea NOS', 'Palate NOS', 'Occipital lobe', 'Abdominal esophagus', 'Overlapping lesion of pancreas', 'Overlapping lesion of female genital organs', 'Cheek mucosa', 'Retina', 'Overlapping lesion of male genital organs', 'Peripheral nerves and autonomic nervous system of trunk NOS', 'Larynx NOS', 'Skin of other and unspecified parts of face', 'Spleen', 'Oropharynx NOS', 'Anal canal', 'Subglottis', 'Cerebral meninges', 'Lateral wall of oropharynx', 'Middle third of esophagus', 'Nipple', 'Medulla of adrenal gland', 'Overlapping lesion of eye and adnexa', 'Olfactory nerve', 'Ethmoid sinus', 'Overlapping lesion of cervix uteri', 'Descending colon', 'Brain NOS', 'Overlapping lesion of respiratory system and intrathoracic organs', 'Anterior wall of bladder', 'Mandible', 'Other specified parts of pancreas', 'Skin of trunk', 'Other specified parts of female genital organs', 'Uterus NOS', 'Peripheral nerves and autonomic nervous system of lower limb and hip', 'Intrathoracic lymph nodes', 'Heart', 'Adrenal gland NOS', 'Aortic body and other paraganglia', 'Extrahepatic bile duct', 'Overlapping lesion of breast', 'Superior wall of nasopharynx', 'Fundus of stomach', 'Anterior mediastinum', 'Tongue NOS', 'Cranial nerve NOS', 'Head of pancreas', 'Overlapping lesions of oropharynx', 'Overlapping lesion of bones joints and articular cartilage', 'Retromolar area', 'Testis NOS', 'Connective subcutaneous and other soft tissues of head face and neck', 'Bladder NOS', 'Overlapping lesion of urinary organs', 'Lower-outer quadrant of breast', 'Thyroid gland', 'Anterior surface of epiglottis', 'Uterine adnexa', '']"," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Progression or Recurrence Anatomic Site"" is required",SRRSClinicalDataTier2
Days to Progression Free,Days to Progression Free,DaystoProgressionFree,Number of days between the date used for index and the date the patient's disease was formally confirmed as progression-free.,False,True,," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Days to Progression Free"" is required",SRRSClinicalDataTier2
Medically Underserved Score,Medically Underserved Score,MedicallyUnderservedScore,"Index of Medical Underservice (IMU) score, a number between 0 and 100, where 0 represents completely underserved and 100 represents best served or least underserved. Use patient zip code to find the county the patient lives in by going to https://www.unitedstateszipcodes.org/. Enter the zip code in the main text field and use the asociated county on the right side of the result field. Go to data.hrsa.gov website and select Query Data. Pick the Medically Underserved Areas/Populations (MUA/P) data source in the step 1 menu and select View Data. Enter the name of the county (______ county) in the first ""Service Area"" column, adding the state in the 5th column may help direct you to the data. Enter the Index of Medical Underservice Score in the fourth column to one decimal place as the value.",False,True,," If Medically Underserved Area is ""Medically Underserved Area - Yes"" then ""Medically Underserved Score"" is required",SRRSClinicalDataTier2
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,LungCancerTier3
Lung Tumor Location Anatomic Site,Lung Tumor Location Anatomic Site,LungTumorLocationAnatomicSite,Anatomic location of the tumor inside the lung,False,,"['Not Reported', 'Main carina', 'Unknown', 'Left', 'Right', '']",,LungCancerTier3
Lung Cancer Harboring Genomic Aberrations,Lung Cancer Harboring Genomic Aberrations,LungCancerHarboringGenomicAberrations,Genomic aberrations in participants with lung cancer (specific lung cancer associated gene mutations not covered in Tiers 1 and 2),False,,"['D963 splice MET mutation', 'A146T KRAS mutation', 'G12A KRAS mutation', 'G12D KRAS mutation', 'EML4-ALK translocation-variant 5', 'L858R EGFR mutation', 'G13C KRAS mutation', 'Intron 13 mutation', 'G13V KRAS mutation', 'EML4-ALK translocation-variant 2', 'Exon 20 insertion', 'EML4-ALK translocation-variant 1', 'D1010 splice MET mutation', 'Unknown', 'G12C KRAS mutation', 'G12V KRAS mutation', 'Q61H KRAS mutation', 'G719X EGFR mutation', 'C797S EGFR mutation', 'G13R KRAS mutation', 'G13D KRAS mutation', 'G13A KRAS mutation', 'G12S KRAS mutation', 'Exon 14 deletion', 'Not Reported', 'T790M EGFR mutation', 'L861Q EGFR mutation', 'V600K BRAF mutation', 'Q61L KRAS mutation', 'V600E BRAF mutation', 'Exon 19 deletion', 'K601E BRAF mutation', 'EML4-ALK translocation-variant 3', 'Intron 14 mutation', 'V600R BRAF mutation', 'G12R KRAS mutation', 'Other', 'Exon 14 mutation', 'EML4-ALK translocation-variant 4', 'D1010N MET mutation', 'V600D BRAF mutation', '']",,LungCancerTier3
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,LungCancerTier3
Start Days from Index,Start Days from Index,StartDaysfromIndex,"Number of days from the date of birth (index date) to the date of an event (e.g. exposure to environmental factor, treatment start, etc.). If not applicable please enter 'Not Applicable'",True,,,,LungCancerTier3
Stop Days from Index,Stop Days from Index,StopDaysfromIndex,"Number of days from the date of birth (index date) to the end date of the event (e.g. exposure to environmental factor, treatment start, etc.). Note: if the event occurs at a single time point, e.g. a diagnosis or a lab test, the values for this column is 'Not Applicable'",False,,,,LungCancerTier3
Lung Adjacent Histology Type,Lung Adjacent Histology Type,LungAdjacentHistologyType,The type of morphologic characteristics observed by microscope in the tissue next to a benign or malignant tissue growth,False,,"['Sarcomatoid carcinoma', 'Squamous cell lung carcinoma', 'Thoracic NUT carcinoma', 'Large cell lung carcinoma', 'Not Reported', 'Carcinoid tumor and lung atypical carcinoid tumor', 'Bronchioalveolar carcinoma', 'Other', 'Lung adenocarcinoma', 'Small cell lung carcinoma', 'Unknown', 'Adenosquamous carcinoma', 'Lung squamous cell carcinoma in situ', 'Large cell neuroendocrine carcinoma', 'Lung lymphoepithelioma-like carcinoma', 'Lung adenocarcinoma in situ', '']",,LungCancerTier3
Lung Tumor Lobe Bronchial Location,Lung Tumor Lobe Bronchial Location,LungTumorLobeBronchialLocation,Anatomic lobe and bronchial location of the tumor inside the lung,False,,"['Not Reported', 'Stump', 'Lower lobe', 'Bronchus', 'Upper lobe', 'Unknown', 'Middle lobe', '']",,LungCancerTier3
Timepoint Label,Timepoint Label,TimepointLabel,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.",True,,,,LungCancerTier3
Current Lung Cancer Symptoms,Current Lung Cancer Symptoms,CurrentLungCancerSymptoms,Reported lung cancer related symptoms person is currently experiencing,False,,"['no evidence of lung cancer recurrence', 'asbestosis', 'Dysphagia', 'dullness to percussion', 'non-productive cough', 'unlabored/normal breathing', 'abnormal breath sounds', 'unexplained weight loss', 'fair/poor aeration', 'Pneumonia', 'breath sounds coarse/diminished', 'prolonged expiration-long/forced expiratory phase', 'clear lungs to auscultation or percussion', 'Wheezing', 'unexplained loss of energy/fatigue', 'Unknown', 'crackles', 'air entry decreased/fair/poor/diminished', 'chest pain or discomfort', 'finger clubbing', 'Not Reported', 'patient is NED', 'hoarseness/laryngitis/vocal cord inflammation', 'shallow inspiration', 'cold symptoms/flu/sinus/nasal congestion', 'rhonci', 'Dyspnea', 'sinus pain/infection', 'Other', 'oxygen supplemental-portable O2 at night or continuous', 'productive cough', 'hemoptysis', '']",,LungCancerTier3
Lung Topography,Lung Topography,LungTopography,Lung PCA specific topography (not covered in previous tiers),False,,"['LL NOS (Left lung not otherwise specified)', 'LB10A/B  Carina between the apical and lateral subsegments of the posterior segment of the LLL', 'RB5A/B - Carina between the medial and lateral subsegments of the medial segment of the right middle lobe', 'RB10B/C - Carina between medial and lateral subsegments posterior segment RLL', 'RB7 Medial basal segment right lower lobe (Carina at RB7 orifice takeoff from RLL orifice)', 'LB4/5  Carina between superior and inferior segment lingula (Carina between LB4 orifice and LB5 orifice)', 'RB6 - Carina of superior segment RLL (Carina between RB6 orifice and lower portion of RLL orifice)', 'LB5A/B  Carina between the medial and lateral subsegments inferior segment lingula', 'LB9 orifice Lateral segment left lower lobe(airway wall between LB9 and LB9A/B carinae)', 'LB1/2  Carina between apical and posterior segment left upper lobe (Carina between LB1 orifice and LB2 orifice)', 'RB6A/B - Carina between apical and lateral subsegments superior segment RLL', 'LB2A/C  Carina between the apical and medial subsegments of the posterior segment of the left upper lobe', 'RB7 orifice Airway wall between RB7 and RB7A/B carinae', 'LB10A/C  Carina between the apical and medial segments of the posterior segment of the LLL', 'RML orifice Airway wall between RML and RB4/5', 'Not Reported', 'LUL orifice Airway wall between LUL and LUDB', 'RB7A/B - Carina between medial and lateral subsegments medial basal segment RLL', 'TR -Trachea (airway wall between tracheo-esophageal bifurcation and main carina)', 'RB4 orifice Lateral segment right middle lobe (airway wall between RB4 and RB4A/B carinae)', 'RB10A/C - Carina between medial and apical subsegments posterior segment RLL', 'Other', 'LUL Carina between the LUL orifice and LLL orifice (airways)', 'RB5 orifice Medial segment right middle lobe (airway wall between RB5 and RB5A/B carinae)', 'RB4/5 - Carina between the lateral and medial segments right middle lobe (Carina between RB4 orifice and RB5 orifice)', 'LB10 orifice  Posterior segment left lower lobe(airway wall between LB10 and LB10A/B carinae)', 'LB3A/B Carina between the apical and lateral subsegments of the anterior segment of the left upper lobe', 'RB10A/B - Carina between medial and lateral subsegments posterior segment RLL', 'LB8A/B  Carina between the medial and lateral subsegments of the anterior segment LLL', 'RLL orifice Airway wall between RML and RB6-10 carinae', 'RB10 Posterior segment right lower lobe (Carina at RB10 orifice takeoff from RLL orifice)', 'LB6  The superior segment of the left lower lobe (Carina between LB6 orifice and lower portion of LLL orifice)', 'MC-Carina between right and left lungs (main carina)', 'Unknown', 'RB6 orifice Airway wall between RB6 and RB6A/B/C carinae', 'LB6 orifice Airway wall between LB6 and LB6A/B carinae', 'LB9A/B  Carina between the medial and lateral subsegments of the lateral segment LLL', 'LB6B/C  Carina between the medial and lateral subsegments of the superior segment LLL', 'RB1/3 - Carina between apical and anterior segments RUL (Carina between RB1 orifice and RB3 orifice)', 'RB4A/B - Carina between the medial and lateral subsegments of the lateral segment of the right middle lobe', 'LB4 orifice Superior segment lingula(airway wall between LB4 and LB4A/B carinae)', 'RB1A/B - Carina between medial and lateral subsegments apical segment RUL', 'RB8A/B - Carina between medial and lateral subsegments anterior segment RLL', 'LLL orifice Airway wall between LUL carina and LB6-10 carinae', 'RB1/2 - Carina between apical and posterior segments right upper lobe (Carina between RB1 orifice and RB2 orifice)', 'RB3A/B - Carina between the medial and lateral subsegments of the anterior segment RUL', 'RB10 orifice Airway wall between RB10 and RB10A/B carinae', 'LUDB-Carina between the lingula and upper division left upper lobe', 'RB1 orifice Apical segment - right upper lobe(airway wall between RB1 and RB1A/B carinae)', 'LB5 orifice Inferior segment lingula(airway wall between LB5 and LB5A/B carinae)', 'LB6A/B  Carina between the superior and lateral subsegments superior segment LLL', 'RB2 orifice Posterior segment - right upper lobe(airway wall between RB2 and RB2A/B carinae)', 'RUL Carinae between RUL orifice and bronchus intermedius', 'LB2A/B  Carina between the apical and lateral subsegments of the posterior segment of the left upper lobe', 'RB9A/B - Carina between medial and lateral subsegments lateral segment RLL', 'RB8/9 - Carina between anterior and lateral segments RLL (Carina between RB8 orifice and RB9 orifice)', 'RB9 orifice Lateral segment right lower lobe(airway wall between RB9 and RB9A/B carinae)', 'Bronchus Intermedius Bronchus (airway wall) between right upper and right middle lobes', 'RB3 orifice Anterior segment - right upper lobe(airway wall between RB3 and RB3A/B carinae)', 'LB1A/B  Carina between the lateral and medial subsegments of the apical segment of the LUL', 'LB4A/B  Carina between medial and lateral subsegments superior segment lingula', 'Carina NOS (Carina not otherwise specified)', 'LB8 orifice Anterior segment left lower lobe(airway wall between LB8 and LB8A/B carinae)', 'LUDB-orifice airway wall between LUDB and LB3(LB1+2 carinae)', 'Carina between LUDB orifice and lingula orifice', 'LB1+2/3  Carina between the apico-posterior and anterior segments of the left upper lobe (Carina between LB1+2 orifice and LB3 orifice)', 'LMB-Left mainstem bronchus(airway wall between MC & LUL carina)', 'RB9/10 - Carina between lateral and posterior segments RLL', 'RB6A/C - Carina between apical and medial subsegments superior segment RLL', 'RB2/3 - Carina between anterior and posterior segments RUL (Carina between RB2 orifice and RB3 orifice)', 'LB1A/C  Carina between the apical and lateral subsegments of the apical segment left upper lobe', 'LB1B/C  Carina between the medial and lateral subsegments of the apical segment of the left upper lobe', 'RMB-Right mainstem bronchus(airway wall between MC & RUL carina)', 'RB2A/B - Carina between the medial and lateral subsegments of the posterior segment (RUL)', 'LB8/9  Carina between the anterior and lateral segments LLL (Carina between LB8 orifice and LB9 orifice)', 'LB6A/C  Carina between the superior and medial subsegments of superior segment LLL', 'LB10B/C  Carina between the medial and lateral subsegments of the posterior segment of the LLL', 'RUL orifice Airway wall between RUL and RB1/RB2/RB3', 'LB9/10  Carina between the lateral and posterior segments LLL (Carina between LB9 orifice and LB10 orifice)', 'LB2B/C  Carina between the medial and lateral subsegments of the posterior segment left upper lobe', 'LB3 orifice Anterior segment left upper lobe(airway wall between LB3 and LB3A/B carinae)', 'LB1+2 orifice  The apico-posterior segment of the left upper lobe (airway wall between LB1+2/3 carina and LB1 or LB2)', 'RB8 orifice Anterior segment right lower lobe(airway wall between RB8 and RB8A/B carinae)', 'Lingula orifice airway wall between LUDB and LB4/5 carinae', 'RML - Carina between RML orifice and RLL orifice', 'RB6B/C - Carina between medial and lateral subsegments superior segment RLL', 'RL NOS (Right lung not otherwise specified)', '']",,LungCancerTier3
Lung Cancer Detection Method Type,Lung Cancer Detection Method Type,LungCancerDetectionMethodType,"The means, manner of procedure, or systematic course of actions performed in order to discover or identify lung cancer",False,,"['Data not available', 'Chest CT', 'Low Dose Computed Tomography (LDCT)', 'Other', 'Unknown', 'Chest X-ray', '']",,LungCancerTier3
Lung Cancer Participant Procedure History,Lung Cancer Participant Procedure History,LungCancerParticipantProcedureHistory,Text name of a surgical or operative procedure used in a natural history protocol of a lung cancer participant.,False,,"['Lung Wedge Resection Bilateral', 'Lobectomy Right', 'Lung Wedge Resection Left', 'Pneumonectomy Left', 'Lung Wedge Resection Multiple', 'Endobronchial biopsy', 'Mediastinoscopy', 'Not Reported', 'Lobectomy Left', 'Other', 'Unknown', 'Lung Wedge Resection Right', 'VATS Sclerosis', 'Segmentectomy', 'Lobectomy Bilateral', 'Brain resection', 'Pneumonectomy Right', '']",,LungCancerTier3
Colorectal Polyp Type,Colorectal Polyp Type,ColorectalPolypType,Type of polyp found in the participant,False,,"['Adenoma', 'Hyperplastic', 'Other', 'Unknown', 'Normal', 'Mixed', 'Papillomatous', 'Cancer', '']",,ColorectalCancerTier3
Colorectal Cancer Detection Method Type,Colorectal Cancer Detection Method Type,ColorectalCancerDetectionMethodType,"The means, manner of procedure, or systematic course of actions performed in order to discover or identify colorectal cancer",False,,"['Data not available', 'DNA stool test', 'Sigmoidoscopy', 'Virtual colonoscopy', 'Other', 'Unknown', 'Fecal occult blood test', 'Colonoscopy', '']",,ColorectalCancerTier3
